iteration,loss,train_acc,test_acc_eval,lr
1000,0.0413,0.9837,0.9707,0.010000
2000,0.0143,0.9982,0.9784,0.010000
3000,0.0049,0.9998,0.9799,0.010000
4000,0.0018,1.0000,0.9803,0.010000
5000,0.0010,1.0000,0.9826,0.010000
6000,0.0005,1.0000,0.9825,0.010000
7000,0.0003,1.0000,0.9825,0.010000
8000,0.0002,1.0000,0.9830,0.010000
9000,0.0001,1.0000,0.9830,0.010000
10000,0.0001,1.0000,0.9831,0.010000
11000,0.0000,1.0000,0.9833,0.010000
12000,0.0000,1.0000,0.9840,0.010000
13000,0.0000,1.0000,0.9835,0.010000
14000,0.0000,1.0000,0.9837,0.010000
15000,0.0000,1.0000,0.9835,0.010000
16000,0.0000,1.0000,0.9833,0.010000
17000,0.0000,1.0000,0.9839,0.010000
18000,0.0000,1.0000,0.9837,0.010000
19000,0.0000,1.0000,0.9835,0.010000
20000,0.0000,1.0000,0.9835,0.010000
21000,0.0000,1.0000,0.9835,0.010000
22000,0.0000,1.0000,0.9836,0.010000
23000,0.0000,1.0000,0.9838,0.010000
24000,0.0000,1.0000,0.9838,0.008000
25000,0.0000,1.0000,0.9840,0.008000
26000,0.0000,1.0000,0.9840,0.008000
27000,0.0000,1.0000,0.9840,0.008000
28000,0.0000,1.0000,0.9836,0.008000
29000,0.0000,1.0000,0.9837,0.008000
30000,0.0000,1.0000,0.9838,0.008000
31000,0.0000,1.0000,0.9838,0.008000
32000,0.0000,1.0000,0.9841,0.008000
33000,0.0000,1.0000,0.9842,0.008000
34000,0.0000,1.0000,0.9840,0.008000
35000,0.0000,1.0000,0.9841,0.008000
36000,0.0000,1.0000,0.9843,0.008000
37000,0.0000,1.0000,0.9840,0.008000
38000,0.0000,1.0000,0.9843,0.008000
39000,0.0000,1.0000,0.9843,0.008000
40000,0.0000,1.0000,0.9839,0.008000
41000,0.0000,1.0000,0.9840,0.008000
42000,0.0000,1.0000,0.9839,0.008000
43000,0.0000,1.0000,0.9841,0.008000
44000,0.0000,1.0000,0.9839,0.008000
45000,0.0000,1.0000,0.9841,0.008000
46000,0.0000,1.0000,0.9842,0.008000
47000,0.0000,1.0000,0.9842,0.008000
48000,0.0000,1.0000,0.9840,0.006400
49000,0.0000,1.0000,0.9843,0.006400
50000,0.0000,1.0000,0.9843,0.006400
